Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,fielders,Sum of fours,Sum of innings,isout,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate,team,wickettype
16,69536,7,85273,{102743},3,3,true,2575985,19,0,241.66,Capitals,caught
18,71331,3,0,{102743},4,1,true,1216500,22,0,122.22,Capitals,run out
51,144355,5,121093,{102743},5,2,true,2508181,62,2,212.98,KKR,caught
13,48405,1,101780,{102743},1,2,true,1254093,22,2,169.23,Mumbai,caught
67,200273,9,244606,{102743},4,3,true,4078574,75,2,269.73,RCB,caught
39,46933,3,0,{102743},8,1,true,1359506,62,2,158.97,RCB,run out
29,61999,4,61325,{102743},2,2,true,1359526,47,3,162.06,Sunrisers,caught
19,60530,2,84635,{102743},0,2,true,1304109,10,1,52.63,Super Giants,caught
48,153497,5,123122,{102743},7,4,true,2718982,58,0,211.57,Super Kings,caught
49,141266,9,122650,{102743},6,3,true,2671697,62,2,260.69,Titans,caught
5,51421,10,66722,{102753},0,2,true,1370352,2,0,40,Mumbai,caught
38,197124,8,145881,{102753},6,4,true,2663603,49,1,247.91,Sunrisers,caught
14,11399,6,10280,{10280},1,2,true,419127,22,1,157.14,Kings XI,caught
10,51096,1,87477,{103588},1,1,true,1304052,9,0,90,KKR,caught
16,61990,5,54369,{103588},1,1,true,1359479,15,0,93.75,Mumbai,caught
76,261862,16,295667,{103588},6,7,true,5221682,116,9,480.63,Punjab Kings,caught
74,171715,15,208569,{103588},12,4,true,3830101,119,4,478.9,Royals,caught
17,190527,20,241087,{103588},2,6,true,3812226,19,1,135.71,Sunrisers,caught
0,51088,2,0,{103588},0,2,true,1304100,0,0,0,Sunrisers,run out
146,314729,22,260164,{103588},19,10,true,6647451,267,21,1001.89,Super Giants,caught
37,58403,2,78239,{103588},6,2,true,1304095,56,2,151.35,Super Kings,caught
12,90143,2,63646,{103597},1,2,true,1359487,15,1,125,KKR,caught
10,7593,6,63646,{103597},0,1,true,1304108,7,0,70,Super Kings,caught
1,61999,3,101414,{103599},0,2,true,1304092,0,0,0,Sunrisers,caught
4,80639,5,51421,{103701},0,1,true,1359543,1,0,25,Sunrisers,caught
3,51012,6,101430,{103766},1,1,true,1216523,5,0,166.66,KKR,caught
13,51216,2,66116,{103766},3,1,true,1178423,28,1,215.38,Sunrisers,caught
20,102753,3,101430,{103766},2,2,true,1359492,19,0,95,Titans,caught
14,11984,5,0,"{10384,11920}",0,1,true,548328,10,0,71.42,Kings XI,run out
1,57444,10,0,"{10384,49039}",0,1,true,548357,1,0,100,Daredevils,run out
10,15716,3,0,"{10384,7520}",1,2,true,548368,8,0,80,Super Kings,run out
1,61990,6,0,"{10384,8813}",0,1,true,1082613,1,0,100,KKR,run out
2,61325,11,0,"{10384,8813}",0,1,true,1082621,1,0,50,RCB,run out
7,51189,6,49039,{10384},0,1,true,548335,3,0,42.85,Chargers,caught
52,177718,18,121390,{10384},5,9,true,2793550,59,2,521,Daredevils,caught
66,83967,15,149128,{10384},12,5,true,1645113,90,1,412.11,Daredevils,stumping
40,205055,14,179742,{10384},3,4,true,2696797,38,1,327.77,Kings XI,caught
86,125304,15,179290,{10384},14,9,true,4284154,126,4,552.02,KKR,caught
218,393734,50,473779,{10384},22,17,true,7653107,259,10,1317.07,Mumbai,caught
8,8999,5,48277,{10384},0,2,true,548370,11,1,137.5,Mumbai,stumping
120,118306,32,97031,{10384},11,11,true,3594381,132,7,423.63,RCB,caught
29,6253,5,5966,{10384},3,1,true,548312,44,2,151.72,Royals,caught
7,47308,1,0,{10384},1,2,true,729297,5,0,71.42,Royals,run out
9,15887,2,48319,{10384},0,2,true,1082596,9,1,100,Sunrisers,caught
4,15887,2,0,{10384},0,2,true,981017,0,0,0,Sunrisers,run out
4,46933,1,5966,{10384},0,1,true,548347,3,0,75,Super Kings,caught
48,68202,13,138493,{10384},3,3,true,2165232,51,2,245.44,Supergiant,caught
40,57124,8,63750,{10384},0,4,true,1096750,30,0,149.49,Warriors,stumping
29,49342,1,10562,{10386},2,1,true,501226,31,1,106.89,Super Kings,caught
2,67455,7,70640,{103872},1,1,true,1175358,4,0,200,Capitals,caught
1,47123,11,0,"{10401,8726}",0,1,true,501225,1,0,100,Kochi,run out
51,143565,15,52269,{10401},4,3,true,1503597,46,1,288.29,Chargers,caught
20,87294,7,64965,{10401},1,3,true,1330965,21,2,245.23,Daredevils,caught
86,216066,31,106824,{10401},9,11,true,3720676,103,4,719.23,Kings XI,caught
22,48405,4,2000,{10401},1,1,true,501231,13,0,59.09,Mumbai,caught
76,171953,14,156989,{10401},4,6,true,2855506,75,2,307.96,Sunrisers,caught
64,64963,9,58064,{10401},4,4,true,1049601,77,2,242.67,Super Kings,caught
40,49342,2,0,{10401},2,1,true,501249,53,3,132.5,Super Kings,run out
62,50771,3,61325,{104045},5,2,true,1304104,89,7,143.54,Capitals,caught
18,165716,18,188680,{104045},3,4,true,2608170,23,0,238.46,RCB,caught
42,15554,3,53869,{10406},9,4,true,838222,84,5,333.08,Daredevils,caught
9,8040,6,59324,{10406},0,2,true,392190,2,0,22.22,KKR,caught
19,9900,3,50121,{10406},4,1,true,501207,21,0,110.52,Kochi,caught
20,44930,3,47100,{10406},6,1,true,335992,44,3,220,RCB,caught
