fielders,isout,team,wickettype,Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,Sum of fours,Sum of innings,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate
{49040},true,Sunrisers,caught,196,648746,57,730247,23,22,14392581,222,5,1423.82
{15473},true,RCB,caught,195,256161,19,263201,26,13,5328778,227,6,762.39
{51096},true,KKR,caught,195,271195,46,522345,26,13,8270974,251,9,1097.14
{15716},true,Royals,caught,193,536365,78,477611,26,28,10231532,270,8,2058.59
{79159},true,KKR,caught,190,575922,50,606361,18,16,11495419,282,18,1346.44
{51216},true,Royals,caught,189,499490,38,535282,22,16,9327840,219,5,969.75
{50281},true,KKR,caught,187,527268,46,753104,23,20,12058842,244,9,1381.42
{51096},true,RCB,caught,187,343608,46,522794,23,15,9556543,271,11,1306.86
{7593},true,KKR,caught,187,783092,66,816341,23,25,16937989,198,3,1378.73
{9900},true,Kings XI,caught,185,526195,63,716312,15,24,11420561,171,4,1127.11
{15887},true,Royals,caught,184,877475,63,858529,21,28,15632700,206,6,1591.62
{48739},true,KKR,caught,183,228463,21,495845,14,11,7594283,209,9,707.35
{45554},true,Mumbai,caught,180,292451,30,261752,18,11,4546424,257,16,1059.8
{7593},true,Sunrisers,caught,180,903992,63,854029,15,18,17528279,172,4,1291.86
{15887},true,RCB,caught,178,607055,42,515581,33,21,11008011,307,16,2063.74
{8813},true,KKR,caught,178,390242,51,497103,19,13,10068364,218,9,1023.99
{61990},true,Super Kings,caught,177,401953,43,578864,17,15,10759056,200,7,901.01
0,true,Super Giants,lbw,174,802900,53,801723,29,18,15870557,244,5,1126.86
{58406},true,Super Kings,caught,173,325619,43,653065,20,18,12566693,205,11,886.4
{86165},true,Super Kings,caught,173,187720,24,375560,19,10,7342009,220,6,758.97
{46533},true,Royals,caught,172,463937,45,523056,14,14,8886143,176,5,795.08
{51096},true,Kings XI,caught,171,517016,64,646267,18,15,9932189,206,5,1228.69
{51454},true,Super Kings,caught,171,123345,15,214487,17,8,4334406,233,11,813.32
{67455},true,RCB,caught,171,255882,19,433070,23,11,7666848,285,20,1006.91
{10556},true,Super Kings,caught,170,115559,27,234153,25,13,4850666,259,10,966.89
{53891},true,Super Kings,caught,170,185225,21,322025,22,8,6080877,238,10,701.83
{8742},true,Sunrisers,caught,170,219320,29,412052,21,9,7765319,219,7,733.91
{45257},true,KKR,caught,169,375951,36,466756,16,17,7807098,172,6,941.39
{8813},true,RCB,caught,169,395665,30,564464,21,20,9978776,172,4,1045.55
{8813},true,Daredevils,caught,168,479998,37,509398,27,16,8873847,280,15,1027.16
{95316},true,RCB,caught,168,301519,12,268282,23,5,6048547,260,11,723.39
{15473},true,Super Kings,caught,166,43296,13,95519,14,8,2718598,184,5,576.14
{49040},true,Kings XI,caught,166,329432,53,530195,21,20,9757974,193,5,1229.71
